run,alpha,eps,beta,epochs,batch_size,hidden,dropout,seed,device,min_test_loss
sweep01,1e-05,1e-06,0.5,100,128,128,0.2,42,cpu,1.81140299
sweep02,1e-05,1e-06,0.57,100,128,128,0.2,42,cpu,1.78882712
sweep03,1e-05,1e-06,0.64,100,128,128,0.2,42,cpu,2.76350931
sweep04,1e-05,1e-06,0.71,100,128,128,0.2,42,cpu,1059.44326326
sweep05,1e-05,1e-06,0.78,100,128,128,0.2,42,cpu,37715.78816748
sweep06,1e-05,1e-06,0.85,100,128,128,0.2,42,cpu,899.73301504
sweep07,1e-05,1e-06,0.9199999999999999,100,128,128,0.2,42,cpu,255.39010419
sweep08,1e-05,1e-06,0.99,100,128,128,0.2,42,cpu,577423.41158981
sweep09,1e-05,2.6826957952797274e-06,0.5,100,128,128,0.2,42,cpu,5.77682657
sweep10,1e-05,2.6826957952797274e-06,0.57,100,128,128,0.2,42,cpu,1.7911478
sweep11,1e-05,2.6826957952797274e-06,0.64,100,128,128,0.2,42,cpu,1.84160409
sweep12,1e-05,2.6826957952797274e-06,0.71,100,128,128,0.2,42,cpu,20.34571903
sweep13,1e-05,2.6826957952797274e-06,0.78,100,128,128,0.2,42,cpu,3.29180494
sweep14,1e-05,2.6826957952797274e-06,0.85,100,128,128,0.2,42,cpu,13629.27481038
sweep15,1e-05,2.6826957952797274e-06,0.9199999999999999,100,128,128,0.2,42,cpu,405.06366032
sweep16,1e-05,2.6826957952797274e-06,0.99,100,128,128,0.2,42,cpu,9957.51173961
sweep17,1e-05,7.196856730011514e-06,0.5,100,128,128,0.2,42,cpu,20.77048465
sweep18,1e-05,7.196856730011514e-06,0.57,100,128,128,0.2,42,cpu,3.03068836
sweep19,1e-05,7.196856730011514e-06,0.64,100,128,128,0.2,42,cpu,152.51166066
sweep20,1e-05,7.196856730011514e-06,0.71,100,128,128,0.2,42,cpu,578.7887354
sweep21,1e-05,7.196856730011514e-06,0.78,100,128,128,0.2,42,cpu,4.07570205
sweep22,1e-05,7.196856730011514e-06,0.85,100,128,128,0.2,42,cpu,2.2746824
sweep23,1e-05,7.196856730011514e-06,0.9199999999999999,100,128,128,0.2,42,cpu,1223.54126688
sweep24,1e-05,7.196856730011514e-06,0.99,100,128,128,0.2,42,cpu,2447709911.238835
sweep25,1e-05,1.9306977288832496e-05,0.5,100,128,128,0.2,42,cpu,504.45090954
sweep26,1e-05,1.9306977288832496e-05,0.57,100,128,128,0.2,42,cpu,1.91634765
sweep27,1e-05,1.9306977288832496e-05,0.64,100,128,128,0.2,42,cpu,2.07861936
sweep28,1e-05,1.9306977288832496e-05,0.71,100,128,128,0.2,42,cpu,1.83911295
sweep29,1e-05,1.9306977288832496e-05,0.78,100,128,128,0.2,42,cpu,12.48533556
sweep30,1e-05,1.9306977288832496e-05,0.85,100,128,128,0.2,42,cpu,2481.42981407
sweep31,1e-05,1.9306977288832496e-05,0.9199999999999999,100,128,128,0.2,42,cpu,129711.68325243
sweep32,1e-05,1.9306977288832496e-05,0.99,100,128,128,0.2,42,cpu,11525.65661597
sweep33,1e-05,5.1794746792312125e-05,0.5,100,128,128,0.2,42,cpu,41.83195333
sweep34,1e-05,5.1794746792312125e-05,0.57,100,128,128,0.2,42,cpu,37.5713137
sweep35,1e-05,5.1794746792312125e-05,0.64,100,128,128,0.2,42,cpu,1.78746616
sweep36,1e-05,5.1794746792312125e-05,0.71,100,128,128,0.2,42,cpu,2.07004718
sweep37,1e-05,5.1794746792312125e-05,0.78,100,128,128,0.2,42,cpu,4.7453632
sweep38,1e-05,5.1794746792312125e-05,0.85,100,128,128,0.2,42,cpu,1.91053415
sweep39,1e-05,5.1794746792312125e-05,0.9199999999999999,100,128,128,0.2,42,cpu,8903713473370.967
sweep40,1e-05,5.1794746792312125e-05,0.99,100,128,128,0.2,42,cpu,10010576.73592233
sweep41,1e-05,0.00013894954943731373,0.5,100,128,128,0.2,42,cpu,1.78885258
sweep42,1e-05,0.00013894954943731373,0.57,100,128,128,0.2,42,cpu,1.80603294
sweep43,1e-05,0.00013894954943731373,0.64,100,128,128,0.2,42,cpu,3.49200624
sweep44,1e-05,0.00013894954943731373,0.71,100,128,128,0.2,42,cpu,1.83261113
sweep45,1e-05,0.00013894954943731373,0.78,100,128,128,0.2,42,cpu,1.85940093
sweep46,1e-05,0.00013894954943731373,0.85,100,128,128,0.2,42,cpu,5705.32747364
sweep47,1e-05,0.00013894954943731373,0.9199999999999999,100,128,128,0.2,42,cpu,5.48291312
sweep48,1e-05,0.00013894954943731373,0.99,100,128,128,0.2,42,cpu,46475250.19805826
sweep49,1e-05,0.0003727593720314938,0.5,100,128,128,0.2,42,cpu,1.78719361
sweep50,1e-05,0.0003727593720314938,0.57,100,128,128,0.2,42,cpu,1.80656336
sweep51,1e-05,0.0003727593720314938,0.64,100,128,128,0.2,42,cpu,1.87762208
sweep52,1e-05,0.0003727593720314938,0.71,100,128,128,0.2,42,cpu,230.77215369
sweep53,1e-05,0.0003727593720314938,0.78,100,128,128,0.2,42,cpu,1157761.53288835
sweep54,1e-05,0.0003727593720314938,0.85,100,128,128,0.2,42,cpu,431.91841537
sweep55,1e-05,0.0003727593720314938,0.9199999999999999,100,128,128,0.2,42,cpu,9.29794846
sweep56,1e-05,0.0003727593720314938,0.99,100,128,128,0.2,42,cpu,6616048.70679612
sweep57,1e-05,0.001,0.5,100,128,128,0.2,42,cpu,1.78718029
sweep58,1e-05,0.001,0.57,100,128,128,0.2,42,cpu,1.78717554
sweep59,1e-05,0.001,0.64,100,128,128,0.2,42,cpu,255.25762619
sweep60,1e-05,0.001,0.71,100,128,128,0.2,42,cpu,49195042.67184466
sweep61,1e-05,0.001,0.78,100,128,128,0.2,42,cpu,15.11696354
sweep62,1e-05,0.001,0.85,100,128,128,0.2,42,cpu,59209.32245146
sweep63,1e-05,0.001,0.9199999999999999,100,128,128,0.2,42,cpu,96.38637411
sweep64,1e-05,0.001,0.99,100,128,128,0.2,42,cpu,14610.4163797
sweep65,2.6826957952797274e-05,1e-06,0.5,100,128,128,0.2,42,cpu,1.93135015
sweep66,2.6826957952797274e-05,1e-06,0.57,100,128,128,0.2,42,cpu,1.79003792
sweep67,2.6826957952797274e-05,1e-06,0.64,100,128,128,0.2,42,cpu,28030.54512288
sweep68,2.6826957952797274e-05,1e-06,0.71,100,128,128,0.2,42,cpu,2337.65187372
sweep69,2.6826957952797274e-05,1e-06,0.78,100,128,128,0.2,42,cpu,5.47888904
sweep70,2.6826957952797274e-05,1e-06,0.85,100,128,128,0.2,42,cpu,30046.59787621
sweep71,2.6826957952797274e-05,1e-06,0.9199999999999999,100,128,128,0.2,42,cpu,41233.33347239
sweep72,2.6826957952797274e-05,1e-06,0.99,100,128,128,0.2,42,cpu,20687184249.786407
sweep73,2.6826957952797274e-05,2.6826957952797274e-06,0.5,100,128,128,0.2,42,cpu,2.08713602
sweep74,2.6826957952797274e-05,2.6826957952797274e-06,0.57,100,128,128,0.2,42,cpu,5.25312359
sweep75,2.6826957952797274e-05,2.6826957952797274e-06,0.64,100,128,128,0.2,42,cpu,3.09582106
sweep76,2.6826957952797274e-05,2.6826957952797274e-06,0.71,100,128,128,0.2,42,cpu,1.81132516
sweep77,2.6826957952797274e-05,2.6826957952797274e-06,0.78,100,128,128,0.2,42,cpu,21.91257042
sweep78,2.6826957952797274e-05,2.6826957952797274e-06,0.85,100,128,128,0.2,42,cpu,1882403.01262136
sweep79,2.6826957952797274e-05,2.6826957952797274e-06,0.9199999999999999,100,128,128,0.2,42,cpu,452809.05018204
sweep80,2.6826957952797274e-05,2.6826957952797274e-06,0.99,100,128,128,0.2,42,cpu,712380544.0
sweep81,2.6826957952797274e-05,7.196856730011514e-06,0.5,100,128,128,0.2,42,cpu,5.2276972
sweep82,2.6826957952797274e-05,7.196856730011514e-06,0.57,100,128,128,0.2,42,cpu,1.78692903
sweep83,2.6826957952797274e-05,7.196856730011514e-06,0.64,100,128,128,0.2,42,cpu,1.8135442
sweep84,2.6826957952797274e-05,7.196856730011514e-06,0.71,100,128,128,0.2,42,cpu,104.53937938
sweep85,2.6826957952797274e-05,7.196856730011514e-06,0.78,100,128,128,0.2,42,cpu,4.73310254
sweep86,2.6826957952797274e-05,7.196856730011514e-06,0.85,100,128,128,0.2,42,cpu,199.45516959
