invoked,dataset,model,optimizer,data_dir,epochs,batch_size,alpha,eps,weight_decay,seed,run_name,min_loss,max_accy,init_eta
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.0,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=0.0e+00_ie=None_i=1,0.01681147,0.9943,
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.0,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=0.0e+00_ie=1e-06_i=2,0.02292842,0.9925,1e-06
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.0,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=0.0e+00_ie=0.0001_i=3,0.01680429,0.9939,0.0001
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.0001,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=1.0e-04_ie=None_i=4,0.02429295,0.9922,
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.0001,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=1.0e-04_ie=1e-06_i=5,0.02461077,0.992,1e-06
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.0001,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=1.0e-04_ie=0.0001_i=6,0.02296934,0.993,0.0001
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.001,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=1.0e-03_ie=None_i=7,0.07120516,0.979,
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.001,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=1.0e-03_ie=1e-06_i=8,0.08590845,0.9753,1e-06
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-10,0.001,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-10_wd=1.0e-03_ie=0.0001_i=9,0.14869908,0.9571,0.0001
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-09,0.0,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-09_wd=0.0e+00_ie=None_i=10,0.0186063,0.9939,
>>>,mnist,cnn,dog_coordinate,./datasets/MNIST/raw,5,12,1e-08,1e-09,0.0,55,sweep_dogcoord_cnn_mnist_a=1.0e-08_e=1.0e-09_wd=0.0e+00_ie=1e-06_i=11,0.02154668,0.9933,1e-06
